name,category,price,historical_sold,shop_location,cmt_count,one_star_rating,two_star_rating,three_star_rating,four_star_rating,five_star_rating
Túi chéo 196,balo_tui_vi_nam,28000.0,15353,Nam Định,5598,122,58,246,477,4696
Túi chống sốc laptop Gubag CS02 size 13 inch,balo_tui_vi_nam,142000.0,10724,Hà Nội,4118,12,11,56,176,3863
Balo CAMELIA BRAND® Global Backpack (5 colors),balo_tui_vi_nam,450000.0,11326,TP. Hồ Chí Minh,5052,8,9,38,129,4868
Túi Đeo Chéo Nam Nữ Thời Trang Leonardo - Zumba Bag - Vải Sợi Tổng Hợp Trượt Nước,balo_tui_vi_nam,219000.0,3388,TP. Hồ Chí Minh,1357,12,6,26,56,1257
Ví móc khóa cầm tay đa năng 4U nhiều màu FMK06,balo_tui_vi_nam,25000.0,1725,TP. Hồ Chí Minh,753,3,3,10,21,716
Balo CAMELIA BRAND® Modern Backpack,balo_tui_vi_nam,480000.0,9621,TP. Hồ Chí Minh,4673,5,3,23,98,4544
Túi đeo chéo hông bụng chạy bộ thể thao nam nữ mini chống thấm nước 3 ngăn nhỏ gọn cực kỳ tiện dụng TV01,balo_tui_vi_nam,31999.5,3460,Hà Nội,659,0,2,6,17,634
Túi đeo chéo nam nữ Pastel gương trong kiểu dáng thời trang TC008,balo_tui_vi_nam,47000.0,30604,Hà Nội,9889,23,20,140,480,9226
TÚI CHỐNG SỐC LAPTOP 13 ,balo_tui_vi_nam,28500.0,2782,Hà Nội,658,7,6,11,43,592
Ví nam da mềm dáng đứng,balo_tui_vi_nam,104000.0,2838,TP. Hồ Chí Minh,1154,9,8,13,48,1076
Túi Laptop Dell 15.6 Inch,balo_tui_vi_nam,45000.0,3440,Hà Nội,535,26,3,16,39,451
Balo QUECHUA nh100 10 lít tiện dụng cho leo núi,balo_tui_vi_nam,63000.0,11726,Hà Nội,3626,3,5,30,87,3501
Balo nam nữ thời trang LAZA BL468 chứa được laptop 15.6inch chính hãng phân phối,balo_tui_vi_nam,98000.0,5179,TP. Hồ Chí Minh,2171,17,11,31,129,1983
Ví nam da đẹp hàng hiệu thời trang cao cấp,balo_tui_vi_nam,29000.0,28457,Hà Nội,9211,254,122,380,705,7750
Túi Xách Nam Nữ Công Sở REMOID,balo_tui_vi_nam,199000.0,3274,Hà Nội,1284,8,6,19,54,1197
Ví đựng tiền xu vải lanh cotton cổ điển,balo_tui_vi_nam,8544.0,1039,Nước ngoài,441,2,1,3,14,421
Ví nam chất đẹp hàng hiệu thời trang cao cấp Bóp da PU nhiều ngăn đẳng cấp nam tính nhập khẩu chính hãng GC-cK9365893,balo_tui_vi_nam,53000.0,43497,Hà Nội,18665,305,158,551,1118,16533
Balo laptop dạng hộp đựng laptop 16inch Fortune Mouse B184,balo_tui_vi_nam,164500.0,11957,TP. Hồ Chí Minh,4648,55,45,124,337,4088
[ SALE 50 % ] Túi vải tote đựng đồ canvas đeo chéo nhiều mẫu phong cách Hàn Quốc cao cấp,balo_tui_vi_nam,32950.0,9100,Hà Nội,3736,34,26,92,226,3358
Túi đeo chéo nam nữ cao cấp,balo_tui_vi_nam,79000.0,5051,Hà Nội,1282,4,5,17,41,1215
Túi Xách Laptop Nam Nữ Công Sở 16 Inch PRAZA TXS0089,balo_tui_vi_nam,169000.0,3216,TP. Hồ Chí Minh,1179,1,0,16,59,1103
Túi đeo chéo nam vải canvas TC92 phong cách thời trang Hàn Quốc,balo_tui_vi_nam,49000.0,7520,Hà Nội,2905,45,20,62,171,2607
[CÓ BẢO HÀNH]Ví Da Nam BAELLERY Cực Chất,balo_tui_vi_nam,85000.0,33644,Hà Nội,14805,93,47,232,648,13785
Ví nam đẹp kiểu ví ngang Hàn Quốc nhiều ngăn có ngăn kéo MSP 3088-1,balo_tui_vi_nam,79000.0,35873,TP. Hồ Chí Minh,15693,55,37,209,706,14688
Túi chống sốc macbook/surface/laptop KINMAC-CHÍNH HÃNG chống va đập-chống nước-thời trang 12,balo_tui_vi_nam,307000.0,4316,Hà Nội,1611,1,1,6,26,1578
Túi đeo hông ,balo_tui_vi_nam,63000.0,2588,TP. Hồ Chí Minh,796,10,3,5,19,759
